Temps (en s);Temperature (en *C);Distance du potentiometre lineaire (en mm);Distance (en m);Pression (en hPa);Pression du capteur SEN KY052(en hPa);Temperature du capteur SEN KY052(en *C);Distance du capteur SEN KY052(en m)
1;39.09;0.32;-24.0;1001.81;1001.27;27.95;184.63
2;38.67;0.53;3940.0;1008.46;1001.68;27.95;181.16
3;40.76;0.32;3944.0;1008.46;1002.54;27.88;173.23
4;38.67;0.53;3968.0;1005.13;1003.67;27.86;164.33
5;39.09;0.25;3944.0;1010.67;1004.85;27.82;154.34
6;36.59;0.46;3944.0;999.59;1005.93;27.79;145.2
7;37.84;1.02;3952.0;1008.46;1007.05;27.76;135.72
8;38.26;0.46;3944.0;1009.56;1008.14;27.73;126.54
9;39.09;-0.03;3944.0;1009.56;1009.38;27.71;116.1
10;37.42;0.39;3916.0;1023.97;1011.71;27.67;96.53
